"","Year","Month","..Total_Users","..Tot_session_perUser","..Total_Pg_Sessions","..Total_Session","..Total_revenue","..Total_ECR","..Total_bounce_rate","..Total_avg_sess_duration","Avg_Users","Avg_sessionPer_user","Avg_Pg_session","Avg_session","Avg_revenue","Avg_ECR","Avg_bounce_rate","Avg_session_duration"
"1",2014,"December",34229,19.28,66.27,36651,13.25,0.04,903.98,2554,1140.96666666667,0.642666666666667,2.209,1221.7,0.441666666666667,0.00133333333333333,30.1326666666667,85.1333333333333
"2",2014,"November",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",2015,"April",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",2015,"August",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",2015,"December",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",2015,"February",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",2015,"January",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",2015,"July",23416,15.14,102.07,25376,35003.39,13.22,607.33,2207,780.533333333333,0.504666666666667,3.40233333333333,845.866666666667,1166.77966666667,0.440666666666667,20.2443333333333,73.5666666666667
"9",2015,"June",62137,34.15,202.81,67932,64435.21,26.63,1405.4,4438,2004.41935483871,1.10161290322581,6.54225806451613,2191.35483870968,2078.55516129032,0.859032258064516,45.3354838709677,143.161290322581
"10",2015,"March",54515,34.19,232.41,60238,69729.33,24.68,1433.11,5024,1758.54838709677,1.10290322580645,7.49709677419355,1943.16129032258,2249.33322580645,0.796129032258065,46.2293548387097,162.064516129032
"11",2015,"May",62512,32.68,204.13,68030,47684.33,18.57,1360.19,4227,2083.73333333333,1.08933333333333,6.80433333333333,2267.66666666667,1589.47766666667,0.619,45.3396666666667,140.9
"12",2015,"November",64716,33.76,211.1,70413,87308.65,32.89,1458.7,4479,2087.61290322581,1.08903225806452,6.80967741935484,2271.38709677419,2816.40806451613,1.06096774193548,47.0548387096774,144.483870967742
"13",2015,"October",54392,32.56,212.64,59085,98202.96,51.06,1411.69,4502,1813.06666666667,1.08533333333333,7.088,1969.5,3273.432,1.702,47.0563333333333,150.066666666667
"14",2015,"September",62173,33.9,226.66,67995,171791.46,72.27,1394.34,5712,2005.58064516129,1.09354838709677,7.31161290322581,2193.38709677419,5541.66,2.33129032258064,44.9787096774194,184.258064516129
"15",2016,"April",56086,33.4,196.44,60421,93201.4,42.61,1477.25,4600,1809.22580645161,1.07741935483871,6.33677419354839,1949.06451612903,3006.49677419355,1.37451612903226,47.6532258064516,148.387096774194
"16",2016,"August",58609,32.24,181.68,65093,119863.37,45.67,1415.83,4558,2021,1.11172413793103,6.2648275862069,2244.58620689655,4133.21965517241,1.5748275862069,48.821724137931,157.172413793103
"17",2016,"December",88938,33.86,174.85,96378,151585.83,41.42,1517.92,4171,2868.96774193548,1.09225806451613,5.64032258064516,3108.96774193548,4889.86548387097,1.33612903225806,48.9651612903226,134.548387096774
"18",2016,"February",114368,31.47,136.36,119978,137864.2,27.92,1335.32,3553,3812.26666666667,1.049,4.54533333333333,3999.26666666667,4595.47333333333,0.930666666666667,44.5106666666667,118.433333333333
"19",2016,"January",109255,32.65,150.99,115149,134691.01,32.68,1384.7,3869,3524.35483870968,1.05322580645161,4.87064516129032,3714.48387096774,4344.87129032258,1.0541935483871,44.6677419354839,124.806451612903
"20",2016,"July",86781,31.61,145.76,92330,110987.62,39.15,1335.49,3505,2892.7,1.05366666666667,4.85866666666667,3077.66666666667,3699.58733333333,1.305,44.5163333333333,116.833333333333
"21",2016,"June",40481,28.87,119.69,44973,34397.21,17.91,1085.64,3967,1305.83870967742,0.931290322580645,3.86096774193548,1450.74193548387,1109.58741935484,0.577741935483871,35.0206451612903,127.967741935484
"22",2016,"March",69769,33.17,154.32,74780,180965.48,50.28,1492.59,4541,2250.61290322581,1.07,4.97806451612903,2412.25806451613,5837.59612903226,1.62193548387097,48.148064516129,146.483870967742
"23",2016,"May",66713,32.23,132.02,71706,130729.33,36.73,1493.13,4219,2223.76666666667,1.07433333333333,4.40066666666667,2390.2,4357.64433333333,1.22433333333333,49.771,140.633333333333
"24",2016,"November",95496,32.92,119.27,101364,155875.78,34.1,1624.88,4134,3080.51612903226,1.06193548387097,3.84741935483871,3269.8064516129,5028.25096774194,1.1,52.4154838709677,133.354838709677
"25",2016,"October",116155,31.84,110.32,123311,476567.3,59.85,1454.41,3326,3871.83333333333,1.06133333333333,3.67733333333333,4110.36666666667,15885.5766666667,1.995,48.4803333333333,110.866666666667
"26",2016,"September",79111,34.09,152.99,87095,578246.72,118.02,1339.09,5126,2551.96774193548,1.09967741935484,4.93516129032258,2809.51612903226,18653.12,3.80709677419355,43.1964516129032,165.354838709677
"27",2017,"April",64478,34.17,145.14,71026,399577.4,92.55,1438.43,5097,2079.93548387097,1.10225806451613,4.68193548387097,2291.16129032258,12889.5935483871,2.98548387096774,46.4009677419355,164.41935483871
"28",2017,"August",61674,30.69,113.6,67612,318610.72,69.42,1395.44,3917,2202.64285714286,1.09607142857143,4.05714285714286,2414.71428571429,11378.9542857143,2.47928571428571,49.8371428571429,139.892857142857
"29",2017,"December",69499,33.89,127.69,75991,365827.38,83.85,1547.38,4656,2241.90322580645,1.09322580645161,4.11903225806452,2451.32258064516,11800.8832258065,2.70483870967742,49.9154838709677,150.193548387097
"30",2017,"February",66050,32.8,119.9,72200,412650.41,76.61,1467.62,4639,2201.66666666667,1.09333333333333,3.99666666666667,2406.66666666667,13755.0136666667,2.55366666666667,48.9206666666667,154.633333333333
"31",2017,"January",62781,34.33,140.93,69690,314407.53,89.73,1404.4,5589,2025.1935483871,1.10741935483871,4.54612903225806,2248.06451612903,10142.1783870968,2.89451612903226,45.3032258064516,180.290322580645
"32",2017,"July",61581,33.2,127.3,68176,333583.54,86.06,1385.01,4809,2052.7,1.10666666666667,4.24333333333333,2272.53333333333,11119.4513333333,2.86866666666667,46.167,160.3
"33",2017,"June",67257,34.54,137.42,75019,382792.47,82.96,1466.39,5604,2169.58064516129,1.1141935483871,4.43290322580645,2419.96774193548,12348.1441935484,2.67612903225806,47.3029032258065,180.774193548387
